name,owner,stars,language,pr_number,pr_title,pr_state,pr_author,pr_created_at,pr_closed_at,pr_merged_at,pr_is_merged,pr_base_branch,pr_head_branch,pr_additions,pr_deletions,pr_changed_files,pr_total_changes,pr_comments_count,pr_reviews_count,pr_review_requests_count,pr_commits_count,pr_participants_count,pr_assignees_count,pr_labels,pr_labels_count,pr_review_decision,pr_is_draft,pr_lifetime_hours,pr_time_to_merge_hours,has_code_review
awesome,sindresorhus,403538,Unknown,3228,Add Reflex,MERGED,itsmeadarsh2008,2024-09-30T17:57:07Z,2024-11-23T16:24:13Z,2024-11-23T16:24:13Z,True,main,patch-1,1,0,1,1,13,2,0,6,4,0,,0,,False,1294.4516666666666,1294.4516666666666,True
awesome,sindresorhus,403538,Unknown,3217,Add AST Parsers,CLOSED,ishanvyas22,2024-09-24T07:34:22Z,2025-05-15T11:37:01Z,,False,main,main,1,0,1,1,6,2,0,2,7,0,,0,,False,5596.044166666667,,True
awesome,sindresorhus,403538,Unknown,3071,Add Regex,MERGED,slevithan,2024-06-04T12:21:05Z,2024-10-22T18:14:52Z,2024-10-22T18:14:52Z,True,main,patch-1,1,0,1,1,6,2,0,1,5,0,,0,,False,3365.896388888889,3365.896388888889,True
awesome,sindresorhus,403538,Unknown,3068,Add Pentest Cheat Sheets,CLOSED,ByteSnipers,2024-06-02T23:37:28Z,2024-10-22T18:11:22Z,,False,main,patch-1,1,0,1,1,6,2,0,2,7,0,,0,,False,3402.565,,True
awesome,sindresorhus,403538,Unknown,3053,Add Geocaching,MERGED,FoxFil,2024-05-19T08:25:16Z,2024-05-31T16:20:15Z,2024-05-31T16:20:15Z,True,main,patch-1,1,0,1,1,11,2,0,1,6,0,,0,,False,295.9163888888889,295.9163888888889,True
awesome,sindresorhus,403538,Unknown,3019,Meta tweaks,MERGED,gao-sun,2024-04-10T03:15:57Z,2024-04-10T03:36:31Z,2024-04-10T03:36:31Z,True,main,patch-1,2,2,1,4,1,2,0,1,5,0,,0,,False,0.3427777777777778,0.3427777777777778,True
awesome,sindresorhus,403538,Unknown,3003,Add Google Cloud,MERGED,rsamborski,2024-03-25T12:30:22Z,2024-06-04T12:45:58Z,2024-06-04T12:45:58Z,True,main,patch-1,1,0,1,1,11,2,0,4,5,0,,0,,False,1704.26,1704.26,True
awesome,sindresorhus,403538,Unknown,2960,Add Babylon.js,MERGED,Symbitic,2024-02-01T17:50:31Z,2024-10-29T11:09:51Z,2024-10-29T11:09:51Z,True,main,add-babylonjs,1,0,1,1,10,2,0,2,7,0,,0,,False,6497.322222222222,6497.322222222222,True
awesome,sindresorhus,403538,Unknown,2924,Add STEM Academy,CLOSED,tapyu,2024-01-02T04:11:17Z,2024-01-10T01:35:59Z,,False,main,patch-1,1,0,1,1,4,2,0,1,4,0,,0,,False,189.41166666666666,,True
awesome,sindresorhus,403538,Unknown,2888,Add QGis,CLOSED,totpero,2023-12-03T17:11:42Z,2024-02-14T09:22:14Z,,False,main,patch-1,1,0,1,1,4,2,0,2,5,0,,0,,False,1744.1755555555555,,True
awesome,sindresorhus,403538,Unknown,2867,Add Telegram Mini Apps,CLOSED,rojvv,2023-11-21T12:44:37Z,2024-10-22T17:47:56Z,,False,main,patch-1,1,0,1,1,10,2,0,4,9,0,,0,,False,8069.0552777777775,,True
awesome,sindresorhus,403538,Unknown,2846,Link to maintained successor for PHP,CLOSED,dereuromark,2023-11-04T02:57:48Z,2024-01-04T13:05:33Z,,False,main,patch-1,1,1,1,2,7,2,0,1,6,0,,0,,False,1474.1291666666666,,True
awesome,sindresorhus,403538,Unknown,2837,Add AI Collection,CLOSED,kerbelp,2023-10-27T08:47:25Z,2024-02-14T08:37:31Z,,False,main,patch-1,1,0,1,1,9,2,0,1,8,0,,0,,False,2639.835,,True
awesome,sindresorhus,403538,Unknown,2835,Minor Grammatical and Typographical Improvements in files,MERGED,tmsagarofficial,2023-10-26T14:01:08Z,2023-10-26T14:59:56Z,2023-10-26T14:59:56Z,True,main,main,9,9,4,18,4,2,0,4,4,0,,0,,False,0.98,0.98,True
awesome,sindresorhus,403538,Unknown,2810,Add Spring Boot,CLOSED,sam-wmd,2023-10-09T20:11:13Z,2024-02-14T08:14:53Z,,False,main,main,1,0,1,1,6,2,0,1,8,0,,0,,False,3060.061111111111,,True
awesome,sindresorhus,403538,Unknown,2763,Add Generative AI Companies,CLOSED,AlexChalakov,2023-08-30T11:47:18Z,2024-01-19T11:25:46Z,,False,main,patch-1,1,0,1,1,11,2,0,5,9,0,,0,,False,3407.641111111111,,True
awesome,sindresorhus,403538,Unknown,2743,Add Steam Deck,MERGED,airscripts,2023-08-10T11:30:11Z,2023-09-24T17:54:29Z,2023-09-24T17:54:29Z,True,main,main,1,0,1,1,8,2,0,1,7,0,,0,,False,1086.405,1086.405,True
awesome,sindresorhus,403538,Unknown,2734,Add Prompt Injection,MERGED,hazanasec,2023-07-30T23:28:41Z,2023-10-14T18:57:02Z,2023-10-14T18:57:02Z,True,main,main,1,0,1,1,5,2,0,3,5,0,,0,,False,1819.4725,1819.4725,True
awesome,sindresorhus,403538,Unknown,2655,Add TON (The Open Network),CLOSED,awesome-doge,2023-05-30T17:59:48Z,2023-06-21T10:45:09Z,,False,main,add-the-open-network,1,0,1,1,4,2,0,2,3,0,,0,,False,520.7558333333334,,True
awesome,sindresorhus,403538,Unknown,2647,Add E-Ink,CLOSED,asapelkin,2023-05-28T18:33:53Z,2024-02-14T07:46:21Z,,False,main,main,1,0,1,1,13,2,0,1,12,0,,0,,False,6277.207777777778,,True
awesome,sindresorhus,403538,Unknown,2615,Add Mojo,CLOSED,relatedcode,2023-05-09T19:14:41Z,2023-06-23T14:09:18Z,,False,main,main,1,0,1,1,3,2,0,1,4,0,,0,,False,1074.9102777777778,,True
